rome,rome_label,naf,naf_label,score
A1101,Conduite d'engins agricoles et forestiers,0161Z,Activités de soutien aux cultures,5
A1101,Conduite d'engins agricoles et forestiers,7731Z,Location et location-bail de machines et équipements agricoles,4
A1101,Conduite d'engins agricoles et forestiers,0210Z,Sylviculture et autres activités forestières,3
A1101,Conduite d'engins agricoles et forestiers,0114Z,Culture de la canne à sucre,3
A1101,Conduite d'engins agricoles et forestiers,0220Z,Exploitation forestière,3
A1101,Conduite d'engins agricoles et forestiers,0141Z,Élevage de vaches laitières,3
A1101,Conduite d'engins agricoles et forestiers,0111Z,"Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses",2
A1101,Conduite d'engins agricoles et forestiers,1091Z,Fabrication d'aliments pour animaux de ferme,1
A1101,Conduite d'engins agricoles et forestiers,7830Z,Autre mise à disposition de ressources humaines,1
A1101,Conduite d'engins agricoles et forestiers,4941B,Transports routiers de fret de proximité,1
A1101,Conduite d'engins agricoles et forestiers,4941A,Transports routiers de fret interurbains,1
A1101,Conduite d'engins agricoles et forestiers,4312A,Travaux de terrassement courants et travaux préparatoires,1
A1101,Conduite d'engins agricoles et forestiers,0121Z,Culture de la vigne,1
A1101,Conduite d'engins agricoles et forestiers,0146Z,Élevage de porcins,1
A1101,Conduite d'engins agricoles et forestiers,2365Z,Fabrication d'ouvrages en fibre-ciment,1
A1201,Bûcheronnage et élagage,0240Z,Services de soutien à l'exploitation forestière,5
A1201,Bûcheronnage et élagage,0220Z,Exploitation forestière,5
A1201,Bûcheronnage et élagage,0210Z,Sylviculture et autres activités forestières,3
A1201,Bûcheronnage et élagage,8130Z,Services d'aménagement paysager,3
A1201,Bûcheronnage et élagage,0129Z,Autres cultures permanentes,1
A1201,Bûcheronnage et élagage,0990Z,Activités de soutien aux autres industries extractives,1
A1201,Bûcheronnage et élagage,4778B,Commerces de détail de charbons et combustibles,1
A1201,Bûcheronnage et élagage,4399C,Travaux de maçonnerie générale et gros œuvre de bâtiment,1
A1201,Bûcheronnage et élagage,8411Z,Administration publique générale,1
A1201,Bûcheronnage et élagage,7830Z,Autre mise à disposition de ressources humaines,1
A1201,Bûcheronnage et élagage,8899B,Action sociale sans hébergement n.c.a.,1
A1202,Entretien des espaces naturels,0114Z,Culture de la canne à sucre,5
A1202,Entretien des espaces naturels,7830Z,Autre mise à disposition de ressources humaines,5
A1202,Entretien des espaces naturels,8411Z,Administration publique générale,5
A1202,Entretien des espaces naturels,8899B,Action sociale sans hébergement n.c.a.,3
A1202,Entretien des espaces naturels,9499Z,Autres organisations fonctionnant par adhésion volontaire,3
A1202,Entretien des espaces naturels,8130Z,Services d'aménagement paysager,1
A1202,Entretien des espaces naturels,8121Z,Nettoyage courant des bâtiments,1
A1203,Entretien des espaces verts,0721Z,Extraction de minerais d'uranium et de thorium,5
A1203,Entretien des espaces verts,8130Z,Services d'aménagement paysager,5
A1203,Entretien des espaces verts,0114Z,Culture de la canne à sucre,4
A1203,Entretien des espaces verts,0210Z,Sylviculture et autres activités forestières,4
A1203,Entretien des espaces verts,0126Z,Culture de fruits oléagineux,4
A1203,Entretien des espaces verts,0122Z,Culture de fruits tropicaux et subtropicaux,4
A1203,Entretien des espaces verts,0130Z,Reproduction de plantes,3
A1203,Entretien des espaces verts,0119Z,Autres cultures non permanentes,3
A1203,Entretien des espaces verts,0240Z,Services de soutien à l'exploitation forestière,3
A1203,Entretien des espaces verts,0220Z,Exploitation forestière,3
A1203,Entretien des espaces verts,8810C,Aide par le travail,3
A1203,Entretien des espaces verts,0149Z,Élevage d'autres animaux,3
A1203,Entretien des espaces verts,8411Z,Administration publique générale,3
A1203,Entretien des espaces verts,7830Z,Autre mise à disposition de ressources humaines,2
A1203,Entretien des espaces verts,9499Z,Autres organisations fonctionnant par adhésion volontaire,2
A1204,Protection du patrimoine naturel,0170Z,"Chasse, piégeage et services annexes",5
A1204,Protection du patrimoine naturel,9104Z,Gestion des jardins botaniques et zoologiques et des réserves naturelles,3
A1204,Protection du patrimoine naturel,8411Z,Administration publique générale,2
A1204,Protection du patrimoine naturel,8413Z,Administration publique (tutelle) des activités économiques,1
A1204,Protection du patrimoine naturel,9499Z,Autres organisations fonctionnant par adhésion volontaire,1
A1204,Protection du patrimoine naturel,7112B,"Ingénierie, études techniques",1
A1204,Protection du patrimoine naturel,5520Z,Hébergement touristique et autre hébergement de courte durée,1
